country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","30-03-2026 16:00:00",24.7955,84.9994,NO2,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","30-03-2026 16:00:00",24.792403,84.992416,PM2.5,38,230,106
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","30-03-2026 16:00:00",24.762518,84.982348,PM10,25,71,46
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","30-03-2026 16:00:00",24.762518,84.982348,SO2,6,11,7
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","30-03-2026 16:00:00",24.762518,84.982348,OZONE,11,60,49
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","30-03-2026 16:00:00",25.697189,85.245900,NH3,8,11,10
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","30-03-2026 16:00:00",25.560083,87.553265,NO2,9,10,9
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","30-03-2026 16:00:00",26.0881305,87.93840336,SO2,6,9,8
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","30-03-2026 16:00:00",26.0881305,87.93840336,OZONE,32,34,33
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","30-03-2026 16:00:00",27.308328,84.531742,PM10,45,171,91
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","30-03-2026 16:00:00",25.251013,86.989001,PM10,33,88,56
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","30-03-2026 16:00:00",25.251013,86.989001,CO,2,22,11
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","30-03-2026 16:00:00",25.265194,87.012947,PM10,45,49,48
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","30-03-2026 16:00:00",25.265194,87.012947,NO2,7,8,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","30-03-2026 16:00:00",25.265194,87.012947,OZONE,5,24,11
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","30-03-2026 16:00:00",25.204762,85.514960,NH3,3,4,3
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","30-03-2026 16:00:00",25.567520,83.966379,CO,22,30,25
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","30-03-2026 16:00:00",25.567520,83.966379,OZONE,1,25,13
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","30-03-2026 16:00:00",25.7808257,84.7446768,PM2.5,NA,NA,NA
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","30-03-2026 16:00:00",25.7808257,84.7446768,SO2,20,23,21
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","30-03-2026 16:00:00",25.7808257,84.7446768,CO,6,14,10
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","30-03-2026 16:00:00",16.316553,80.413302,PM10,44,66,52
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","30-03-2026 16:00:00",16.316553,80.413302,NH3,4,6,5
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","30-03-2026 16:00:00",16.316553,80.413302,CO,16,26,25
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","30-03-2026 16:00:00",16.186555,81.13219,SO2,NA,NA,NA
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","30-03-2026 16:00:00","14.438164 ","79.966814 ",SO2,3,14,6
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","30-03-2026 16:00:00",16.9872867,81.7363176,NH3,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","30-03-2026 16:00:00",16.9872867,81.7363176,SO2,NA,NA,NA
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","30-03-2026 16:00:00",13.67,79.35,NH3,3,4,3
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","30-03-2026 16:00:00",26.10887,91.589544,PM2.5,41,53,50
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","30-03-2026 16:00:00",26.187500,91.744194,SO2,9,10,9
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","30-03-2026 16:00:00",26.181742,91.78063,SO2,1,6,2
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","30-03-2026 16:00:00",26.349082,92.68449,PM10,16,69,32
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","30-03-2026 16:00:00",26.446912,91.439057,PM10,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","30-03-2026 16:00:00",26.446912,91.439057,NO2,14,15,14
India,Assam,Silchar,"Tarapur, Silchar - PCBA","30-03-2026 16:00:00",24.82827,92.79525,NO2,24,31,30
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","30-03-2026 16:00:00",26.987634,94.636574,NO2,25,39,32
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","30-03-2026 16:00:00",26.987634,94.636574,CO,18,32,20
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","30-03-2026 16:00:00",25.5626095,84.663264,NH3,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","30-03-2026 16:00:00",24.75746,84.366208,PM10,26,108,77
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","30-03-2026 16:00:00",25.42742023,86.13886079,PM10,28,56,38
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","30-03-2026 16:00:00",25.42742023,86.13886079,SO2,37,42,40
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","30-03-2026 16:00:00",16.486692,80.699436,NH3,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","30-03-2026 16:00:00",16.486692,80.699436,CO,26,34,30
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","30-03-2026 16:00:00",16.554731,80.649110,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","30-03-2026 16:00:00",16.554731,80.649110,OZONE,25,33,27
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","30-03-2026 16:00:00",17.72,83.3,PM2.5,11,63,34
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","30-03-2026 16:00:00",17.72,83.3,CO,2,74,16
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","30-03-2026 16:00:00",17.72,83.3,OZONE,4,21,18
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-03-2026 16:00:00",16.5150833,80.5181667,NO2,7,8,8
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-03-2026 16:00:00",16.5150833,80.5181667,NH3,2,2,2
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","30-03-2026 16:00:00",14.675886,77.593027,OZONE,NA,NA,NA
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","30-03-2026 16:00:00",13.204880,79.097889,PM2.5,54,86,64
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","30-03-2026 16:00:00",13.204880,79.097889,OZONE,38,52,45
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","30-03-2026 16:00:00",13.615387,79.409230,OZONE,18,33,25
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","30-03-2026 16:00:00",16.536107,80.594233,PM10,36,67,50
India,Assam,Guwahati,"IITG, Guwahati - PCBA","30-03-2026 16:00:00",26.2028636,91.70046436,NH3,4,5,5
India,Assam,Guwahati,"IITG, Guwahati - PCBA","30-03-2026 16:00:00",26.2028636,91.70046436,SO2,30,32,31
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","30-03-2026 16:00:00",26.071318,91.87488,NH3,4,4,4
